# comentario unicamente para diferenciar los archivos: trials B de optuna

number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_n_estimators,params_scale_pos_weight,params_subsample,state
0,0.49417745724659273,2026-07-24 16:46:19.323334,2026-07-24 16:46:21.115058,0 days 00:00:01.791724,0.6624074561769746,0.07259248719561363,10,287,2.467983561008608,0.8394633936788146,COMPLETE
1,0.5276235037662341,2026-07-24 16:46:21.116107,2026-07-24 16:46:22.628162,0 days 00:00:01.512055,0.608233797718321,0.05092911283433821,9,129,4.909729556485983,0.8832290311184181,COMPLETE
2,0.5473592217447654,2026-07-24 16:46:22.628967,2026-07-24 16:46:23.421761,0 days 00:00:00.792794,0.7216968971838151,0.016362239850894633,4,517,3.5742692948967134,0.6733618039413735,COMPLETE
3,0.5525641316634352,2026-07-24 16:46:23.422587,2026-07-24 16:46:24.291991,0 days 00:00:00.869404,0.7168578594140873,0.05243180891902853,5,316,3.099085529881075,0.6557975442608167,COMPLETE
4,0.4446965881892943,2026-07-24 16:46:24.292858,2026-07-24 16:46:26.649504,0 days 00:00:02.356646,0.836965827544817,0.017172542103877867,9,328,2.139351238159993,0.8056937753654446,COMPLETE
5,0.536196874393381,2026-07-24 16:46:26.650607,2026-07-24 16:46:28.125173,0 days 00:00:01.474566,0.9862528132298237,0.011926324174062874,4,404,4.425192044349384,0.9795542149013333,COMPLETE
6,0.5465244441247464,2026-07-24 16:46:28.125980,2026-07-24 16:46:28.896420,0 days 00:00:00.770440,0.6488152939379115,0.06378528225249058,3,252,3.4855307303338106,0.7760609974958406,COMPLETE
7,0.5476094890388279,2026-07-24 16:46:28.897199,2026-07-24 16:46:31.932094,0 days 00:00:03.034895,0.7246844304357644,0.020153425505297702,10,117,3.5602040635334324,0.8650089137415928,COMPLETE
8,0.5354623802625906,2026-07-24 16:46:31.932854,2026-07-24 16:46:32.418741,0 days 00:00:00.485887,0.9757995766256756,0.13814017620274424,4,373,4.684482051282947,0.9100531293444458,COMPLETE
9,0.5161273547464574,2026-07-24 16:46:32.419584,2026-07-24 16:46:35.104548,0 days 00:00:02.684964,0.6180909155642152,0.012707942999213693,10,399,2.975990992289793,0.6783931449676581,COMPLETE
10,0.5464968670868185,2026-07-24 16:46:35.105245,2026-07-24 16:46:36.292430,0 days 00:00:01.187185,0.8607466203112714,0.03203999390196693,7,577,4.199595033213562,0.6071847502459279,COMPLETE
11,0.5525894946470781,2026-07-24 16:46:36.293170,2026-07-24 16:46:37.238188,0 days 00:00:00.945018,0.7577990966793822,0.03212762430878716,6,107,3.364313933984169,0.7392679457934307,COMPLETE
12,0.5527291937892524,2026-07-24 16:46:37.239050,2026-07-24 16:46:38.169202,0 days 00:00:00.930152,0.7815343585324473,0.035077813915822986,6,212,3.012576129304697,0.7273145000499233,COMPLETE
13,0.5470180428793944,2026-07-24 16:46:38.170080,2026-07-24 16:46:39.142788,0 days 00:00:00.972708,0.8101383468058979,0.030240596812168494,6,204,2.8234549198474426,0.7382774980993067,COMPLETE
14,0.5494118275235543,2026-07-24 16:46:39.143807,2026-07-24 16:46:40.305009,0 days 00:00:01.161202,0.771021049221758,0.030061046366540004,7,213,3.9825671758768593,0.7371197153065265,COMPLETE
15,0.5234404565577165,2026-07-24 16:46:40.305951,2026-07-24 16:46:41.313142,0 days 00:00:01.007191,0.919197947631607,0.0392854369703887,7,167,2.586605812199586,0.7322318671941304,COMPLETE
16,0.5481775503021932,2026-07-24 16:46:41.314169,2026-07-24 16:46:41.919907,0 days 00:00:00.605738,0.7810641628320903,0.09579135219572962,6,106,3.285956528506657,0.7941252755357423,COMPLETE
17,0.47951075809105154,2026-07-24 16:46:41.920616,2026-07-24 16:46:43.247983,0 days 00:00:01.327367,0.886807619434659,0.02384235173010945,6,179,2.031620500041566,0.6973916191172266,COMPLETE
18,0.548711181985658,2026-07-24 16:46:43.248852,2026-07-24 16:46:44.765092,0 days 00:00:01.516240,0.7498826272841485,0.04208239148277853,8,248,3.8601850008883507,0.7601256168861884,COMPLETE
19,0.538356214663462,2026-07-24 16:46:44.765946,2026-07-24 16:46:45.808518,0 days 00:00:01.042572,0.8036366773816868,0.023132306297354834,5,147,2.637891088790923,0.6038621924983253,COMPLETE
20,0.5526061116173807,2026-07-24 16:46:45.809270,2026-07-24 16:46:46.584630,0 days 00:00:00.775360,0.6889385427604511,0.08174117326716414,5,467,3.291356248710832,0.7099411795981051,COMPLETE
