# este archivo son los resultado de los trials del modelo B de optuna 

number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_n_estimators,params_scale_pos_weight,params_subsample,state
0,0.49417745724659273,2026-07-23 20:36:47.343450,2026-07-23 20:36:49.192450,0 days 00:00:01.849000,0.6624074561769746,0.07259248719561363,10,287,2.467983561008608,0.8394633936788146,COMPLETE
1,0.5276235037662341,2026-07-23 20:36:49.193320,2026-07-23 20:36:50.557883,0 days 00:00:01.364563,0.608233797718321,0.05092911283433821,9,129,4.909729556485983,0.8832290311184181,COMPLETE
2,0.5473592217447654,2026-07-23 20:36:50.558748,2026-07-23 20:36:51.219244,0 days 00:00:00.660496,0.7216968971838151,0.016362239850894633,4,517,3.5742692948967134,0.6733618039413735,COMPLETE
3,0.5525641316634352,2026-07-23 20:36:51.219972,2026-07-23 20:36:51.992171,0 days 00:00:00.772199,0.7168578594140873,0.05243180891902853,5,316,3.099085529881075,0.6557975442608167,COMPLETE
4,0.4446965881892943,2026-07-23 20:36:51.992976,2026-07-23 20:36:54.322802,0 days 00:00:02.329826,0.836965827544817,0.017172542103877867,9,328,2.139351238159993,0.8056937753654446,COMPLETE
5,0.536196874393381,2026-07-23 20:36:54.323627,2026-07-23 20:36:55.896892,0 days 00:00:01.573265,0.9862528132298237,0.011926324174062874,4,404,4.425192044349384,0.9795542149013333,COMPLETE
6,0.5465244441247464,2026-07-23 20:36:55.897978,2026-07-23 20:36:56.667463,0 days 00:00:00.769485,0.6488152939379115,0.06378528225249058,3,252,3.4855307303338106,0.7760609974958406,COMPLETE
7,0.5476094890388279,2026-07-23 20:36:56.668221,2026-07-23 20:36:59.711218,0 days 00:00:03.042997,0.7246844304357644,0.020153425505297702,10,117,3.5602040635334324,0.8650089137415928,COMPLETE
8,0.5354623802625906,2026-07-23 20:36:59.712348,2026-07-23 20:37:00.247205,0 days 00:00:00.534857,0.9757995766256756,0.13814017620274424,4,373,4.684482051282947,0.9100531293444458,COMPLETE
9,0.5161273547464574,2026-07-23 20:37:00.248426,2026-07-23 20:37:03.046520,0 days 00:00:02.798094,0.6180909155642152,0.012707942999213693,10,399,2.975990992289793,0.6783931449676581,COMPLETE
